FAMILY
Actinidiaceae
Boraginaceae
Elaeocarpaceae
Euphorbiaceae
Gesneriaceae
Grammitidaceae
Guttiferae
Myrtaceae
Pandanaceae
Rubiaceae
Urticaceae
Verbenaceae
Cornaceae
Meliaceae
Myrsinaceae
Sapotaceae
Aquifoliaceae
Araliaceae
Ebenaceae
Flacourtiaceae
Acanthaceae
Apocynaceae
Ericaceae
Hamamelidaceae
Lauraceae
Leeaceae
Melastomataceae
Moraceae
Myristicaceae
Ochnaceae
Oleaceae
Solanaceae
Theaceae
Zingiberaceae
Bignoniaceae
Buxaceae
Leguminosae-Papilionoideae
Symplocaceae
Palmae
Icacinaceae
Olacaceae
Cyperaceae
Orchidaceae
Gramineae
Gramineae-Bambusoideae
Gonystylaceae
Hymenophyllaceae
Araceae
Davalliaceae
Liliaceae
Pontederiaceae
Xyridaceae
Celastraceae
Commelinaceae
Dioscoreaceae
Hydrocharitaceae
Menispermaceae
Sterculiaceae
Triuridaceae
Typhaceae
Eriocaulaceae
Pteridaceae-Adiantoideae
Centrolepidaceae
Flagellariaceae
Aceraceae
Annonaceae
Asclepiadaceae
Aspleniaceae
Blechnaceae
Cheiropleuriaceae
Cyatheaceae
Daphniphyllaceae
Dennstaedtiaceae-Lindsaeoid
Dipteridaceae
Dipterocarpaceae
Elaeagnaceae
Epacridaceae
Fagaceae
Juncaceae
Leguminosae-Mimosoideae
Loranthaceae
Nepenthaceae
Opiliaceae
Podocarpaceae
Primulaceae
Rosaceae
Sapindaceae
Thelypteridaceae
Ulmaceae
Umbelliferae
Vitaceae
Xanthophyllaceae
Araucariaceae
Connaraceae
Cunoniaceae
Leguminosae-Caesalpinioideae
Loganiaceae
Lythraceae
Sabiaceae
Thymelaeaceae
Winteraceae
Compositae
Malvaceae
Burseraceae
Cycadaceae
Dennstaedtiaceae
Grossulariaceae
Pteridaceae
Rutaceae
Amaryllidaceae
Anacardiaceae
Begoniaceae
Campanulaceae
Cappar(id)aceae
Casuarinaceae
Cecropiaceae
Chrysobalanaceae
Clethraceae
Combretaceae
Convolvulaceae
Crassulaceae
Cucurbitaceae
Dichapetalaceae
Dilleniaceae
Dryopteridaceae
Dryopteridaceae-Athyrioideae
Dryopteridaceae-Tectarioideae
Erythropalaceae
Erythroxylaceae
Gleicheniaceae
Goodeniaceae
Hydrangeaceae
Hypericaceae
Iridaceae
Ixonanthaceae
Juglandaceae
Labiatae
Lecythidaceae
Lentibulariaceae
Lomariopsidaceae
Magnoliaceae
Malpighiaceae
Memecylaceae
Oxalidaceae
Pandaceae
Passifloraceae
Pinaceae
Piperaceae
Pittosporaceae
Plagiogyriaceae
Polygalaceae
Polygonaceae
Polypodiaceae
Proteaceae
Ranunculaceae
Rhamnaceae
Rhizophoraceae
Santalaceae
Saxifragaceae
Schisandraceae
Scrophulariaceae
Selaginellaceae
Simaroubaceae
Staphyleaceae
Styracaceae
Taccaceae
Tiliaceae
Violaceae
Viscaceae
Vittariaceae
Balanophoraceae
Lycopodiaceae
Sarcospermataceae
Crypteroniaceae
Bombacaceae
Chloranthaceae
Basellaceae
Dicksoniaceae
Elatinaceae
Linaceae
Marattiaceae
Monachosoraceae
Cruciferae
Amaranthaceae
Caprifoliaceae
Caryophyllaceae
Ceratophyllaceae
Gnetaceae
Hernandiaceae
Marantaceae
Gentianaceae
Berberidaceae
Alangiaceae
Aristolochiaceae
Balsaminaceae
Haloragaceae
Monimiaceae
Nyctaginaceae
Oleandraceae
Pentaphragmataceae
Smilacaceae
Stemonaceae
Ophioglossaceae
Hanguanaceae
Burmanniaceae
Taxaceae
Agavaceae
Aizoaceae
Caricaceae
Hydrophyllaceae
Molluginaceae
Rafflesiaceae
Salicaceae
Schizaeaceae
Sonneratiaceae
Sphenocleaceae
Onagraceae
Psilotaceae
Illiciaceae
Musaceae
Najadaceae
Nelumbonaceae
Nephrolepidaceae
Parkeriaceae
Plantaginaceae
Plumbaginaceae
Droseraceae
Moringaceae
Orobanchaceae
Pedaliaceae
Saururaceae
